,changed,Unique.ID,Continent,Species.Distribution,Status,cal.last.occurrence,X14C.last.occurrence,X14C.error,Order,FAMILY,Genus,Species,X,binomial.x,LogMass,Combined.Mass..g.,Comments,Reference,IUCN.status,comment,comment.1,Home.Range.Size,units.for.home.range.sizse,reference.for.home.range,binomial.y,trophic,ref.for.trophic,habitat.mode
4258,Genus and species name match. Likely taxonomy is RODENTIA Cricetidae Nelsonia neotomodon,NA_extant_Nelsonia neotomodon,NA,,extant,,NA,NA,Rodentia,Muridae,Nelsonia,neotomodon,,Nelsonia neotomodon,1.903,80,,66,,,,,NA,NA,Nelsonia neotomodon,Browse,t2,terr
4259,Genus and species name match. Likely taxonomy is RODENTIA Cricetidae Neofiber alleni,NA_extant_Neofiber alleni,NA,,extant,,NA,NA,Rodentia,Muridae,Neofiber,alleni,,Neofiber alleni,2.425,265.999,habitat loss,60,LR,,,,NA,NA,Neofiber alleni,Graze/browse ,t2,terr
4260,Genus and species name match. Likely taxonomy is RODENTIA Cricetidae Neotoma albigula,NA_extant_Neotoma albigula,NA,,extant,,NA,NA,Rodentia,Muridae,Neotoma,albigula,,Neotoma albigula,2.314,206.025,,60,,,,,NA,NA,Neotoma albigula,Browse,t2,terr
4261,Genus and species name match. Likely taxonomy is RODENTIA Cricetidae Neotoma angustapalata,NA_extant_Neotoma angustapalata,NA,,extant,,NA,NA,Rodentia,Muridae,Neotoma,angustapalata,,Neotoma angustapalata,2.297,198.002,,66,,,,,NA,NA,Neotoma angustapalata,Browse,t2,terr
4262,Genus and species name match. Likely taxonomy is RODENTIA Cricetidae Neotoma chrysomelas,NA_extant_Neotoma chrysomelas,NA,NW Nicaragua_ Honduras,extant,,NA,NA,Rodentia,Muridae,Neotoma,chrysomelas,,Neotoma chrysomelas,-999,-999,,-999,,,,,NA,NA,Neotoma chrysomelas,Browse,t2,
4263,Genus and species name match. Likely taxonomy is RODENTIA Cricetidae Neotoma cinerea,NA_extant_Neotoma cinerea,NA,,extant,,NA,NA,Rodentia,Muridae,Neotoma,cinerea,,Neotoma cinerea,2.476,299.151,,66,,,,,NA,NA,Neotoma cinerea,Browse,t2,terr
4264,Genus and species name match. Likely taxonomy is RODENTIA Cricetidae Neotoma devia,NA_extant_Neotoma devia,NA,,extant,,NA,NA,Rodentia,Muridae,Neotoma,devia,,Neotoma devia,2.301,200,,66,,,,,NA,NA,Neotoma devia,Browse,t2,terr
4265,Genus and species name match. Likely taxonomy is RODENTIA Cricetidae Neotoma floridana,NA_extant_Neotoma floridana,NA,,extant,,NA,NA,Rodentia,Muridae,Neotoma,floridana,,Neotoma floridana,2.389,244.748,,60,,,,,NA,NA,Neotoma floridana,Browse,t2,terr
4266,Genus and species name match. Likely taxonomy is RODENTIA Cricetidae Neotoma fuscipes,NA_extant_Neotoma fuscipes,NA,,extant,,NA,NA,Rodentia,Muridae,Neotoma,fuscipes,,Neotoma fuscipes,2.361,229.832,,60,,,,,NA,NA,Neotoma fuscipes,Browse,t2,terr
4267,Genus and species name match. Likely taxonomy is RODENTIA Cricetidae Neotoma goldmani,NA_extant_Neotoma goldmani,NA,,extant,,NA,NA,Rodentia,Muridae,Neotoma,goldmani,,Neotoma goldmani,2.297,198.002,,66,,,,,NA,NA,Neotoma goldmani,Browse,t2,terr
4268,Genus and species name match. Likely taxonomy is RODENTIA Cricetidae Neotoma lepida,NA_extant_Neotoma lepida,NA,,extant,,NA,NA,Rodentia,Muridae,Neotoma,lepida,,Neotoma lepida,2.214,163.75,,60,,,,,NA,NA,Neotoma lepida,Browse,t2,terr
4269,Genus and species name match. Likely taxonomy is RODENTIA Cricetidae Neotoma mexicana,NA_extant_Neotoma mexicana,NA,,extant,,NA,NA,Rodentia,Muridae,Neotoma,mexicana,,Neotoma mexicana,2.308,203.002,,60,,,,,NA,NA,Neotoma mexicana,browse/frug ,t2,terr
4270,Genus and species name match. Likely taxonomy is RODENTIA Cricetidae Neotoma micropus,NA_extant_Neotoma micropus,NA,,extant,,NA,NA,Rodentia,Muridae,Neotoma,micropus,,Neotoma micropus,2.376,237.498,,60,,,,,NA,NA,Neotoma micropus,Browse/frug,t2,terr
4271,Genus and species name match. Likely taxonomy is RODENTIA Cricetidae Neotoma nelsoni,NA_extant_Neotoma nelsoni,NA,,extant,,NA,NA,Rodentia,Muridae,Neotoma,nelsoni,,Neotoma nelsoni,2.297,198.002,,66,EN,,,,NA,NA,Neotoma nelsoni,Browse,t2,terr
4272,Genus and species name match. Likely taxonomy is RODENTIA Cricetidae Neotoma palatina,NA_extant_Neotoma palatina,NA,,extant,,NA,NA,Rodentia,Muridae,Neotoma,palatina,,Neotoma palatina,2.297,198.002,,66,LR,,,,NA,NA,Neotoma palatina,Browse,t2,terr
4273,Genus and species name match. Likely taxonomy is RODENTIA Cricetidae Neotoma phenax,NA_extant_Neotoma phenax,NA,,extant,,NA,NA,Rodentia,Muridae,Neotoma,phenax,,Neotoma phenax,2.357,227.499,,60,,,,,NA,NA,Neotoma phenax,Browse,t2,terr
4274,Genus and species name match. Likely taxonomy is RODENTIA Cricetidae Neotoma stephensi,NA_extant_Neotoma stephensi,NA,,extant,,NA,NA,Rodentia,Muridae,Neotoma,stephensi,,Neotoma stephensi,2.183,152.5,,60,,,,,NA,NA,Neotoma stephensi,Browse,t2,terr
4275,Genus and species name match. Likely taxonomy is RODENTIA Cricetidae Neotomodon alstoni,NA_extant_Neotomodon alstoni,NA,,extant,,NA,NA,Rodentia,Muridae,Neotomodon,alstoni,,Neotomodon alstoni,1.602,40,,66,,,,,NA,NA,Neotomodon alstoni,Frug/browse,t2,terr
4276,Genus and species name match. Likely taxonomy is SORICOMORPHA Talpidae Neurotrichus gibbsii,NA_extant_Neurotrichus gibbsii,NA,,extant,,NA,NA,Insectivora,Talpidae,Neurotrichus,gibbsii,,Neurotrichus gibbsii,0.949,8.9,,60,,,,,NA,NA,Neurotrichus gibbsii,Ginsect,t2,terr
4277,Unchanged taxonomy.,NA_extant_Noctilio albiventris,NA,S Mexico to Guianas_ E Brazil_ N Argentina and Peru,extant,,NA,NA,Chiroptera,Noctilionidae,Noctilio,albiventris,,Noctilio albiventris,1.489,30.848,,153,,,,,NA,NA,Noctilio albiventris,piscivore,t2,volant
4278,Unchanged taxonomy.,NA_extant_Noctilio leporinus,NA,sinaloa (Mexico) to Guianas_ s Brazil_ N Argentina_ and Peru_ Trinidad_ Greater and Lesser Antilles_ s Bahamas,extant,,NA,NA,Chiroptera,Noctilionidae,Noctilio,leporinus,,Noctilio leporinus,1.78,60.26,,153,,,,,NA,NA,Noctilio leporinus,piscivore,t2,volant
4279,Genus and species name match. Likely taxonomy is SORICOMORPHA Soricidae Notiosorex crawfordi,NA_extant_Notiosorex crawfordi,NA,,extant,,NA,NA,Insectivora,Soricidae,Notiosorex,crawfordi,,Notiosorex crawfordi,0.643,4.393,,60,,,,,NA,NA,Notiosorex crawfordi,Ginsect,t2,terr
4280,Unchanged taxonomy.,NA_extant_Nycticeius humeralis,NA,N Veracruz (Mexico) to Nebraska_ the great lakes and pennsylvania_ south to florida and the gulf coast (USA) cuba,extant,,NA,NA,Chiroptera,Vespertilionidae,Nycticeius,humeralis,,Nycticeius humeralis,0.954,8.989,,153,,,,,NA,NA,Nycticeius humeralis,Ainsect,t2,volant
4281,Unchanged taxonomy.,NA_extant_Nyctinomops aurispinosus,NA,Sonora and Tamaulipas (Mexico) to Peru_ Bolivia and Brazil,extant,,NA,NA,Chiroptera,Molossidae,Nyctinomops,aurispinosus,,Nyctinomops aurispinosus,1.254,17.95,,153,,,,,NA,NA,Nyctinomops aurispinosus,Ainsect,t2,volant
4282,Unchanged taxonomy.,NA_extant_Nyctinomops femorosaccus,NA,Guerrero (Mexico) to New Mexico_ Arizona_ Calfornia (USA) and Baja California (Mexico),extant,,NA,NA,Chiroptera,Molossidae,Nyctinomops,femorosaccus,,Nyctinomops femorosaccus,1.165,14.625,,153,,,,,NA,NA,Nyctinomops femorosaccus,Ainsect,t2,volant
4283,Unchanged taxonomy.,NA_extant_Nyctinomops laticaudatus,NA,Tamaulipas and Ja_isco (Mexico) to NW Peru_ N Argentina and Brazil_ Trinidad_ cuba,extant,,NA,NA,Chiroptera,Molossidae,Nyctinomops,laticaudatus,,Nyctinomops laticaudatus,1.087,12.22,,153,,,,,NA,NA,Nyctinomops laticaudatus,Ainsect,t2,volant
4284,Unchanged taxonomy.,NA_extant_Nyctinomops macrotis,NA,SW British Columbia and Iowa (USA) to Peru_ N Argentina and Uruguay_ Cuba_ Jamaica_ Hispanila,extant,,NA,NA,Chiroptera,Molossidae,Nyctinomops,macrotis,,Nyctinomops macrotis,1.265,18.4,,153,,,,,NA,NA,Nyctinomops macrotis,Ainsect,t2,volant
4285,Genus and species name match. Likely taxonomy is RODENTIA Cricetidae Nyctomys sumichrasti,NA_extant_Nyctomys sumichrasti,NA,,extant,,NA,NA,Rodentia,Muridae,Nyctomys,sumichrasti,,Nyctomys sumichrasti,1.694,49.443,,66_ 237,,,,,NA,NA,Nyctomys sumichrasti,Frug/browse,t2,terr
4286,Unchanged taxonomy.,NA_extant_Ochotona collaris,NA,,extant,,NA,NA,Lagomorpha,Ochotonidae,Ochotona,collaris,,Ochotona collaris,2.111,129,,60,,,,,NA,NA,Ochotona collaris,Graze ,t2,terr
4287,Unchanged taxonomy.,NA_extant_Ochotona princeps,NA,,extant,,NA,NA,Lagomorpha,Ochotonidae,Ochotona,princeps,,Ochotona princeps,2.198,157.627,,60,,,,,NA,NA,Ochotona princeps,Graze ,t2,terr
4288,Genus and species name match. Likely taxonomy is RODENTIA Cricetidae Ochrotomys nuttalli,NA_extant_Ochrotomys nuttalli,NA,,extant,,NA,NA,Rodentia,Muridae,Ochrotomys,nuttalli,,Ochrotomys nuttalli,1.35,22.375,,60,,,,,NA,NA,Ochrotomys nuttalli,Frug/ginsect,t2,terr
4289,Unchanged taxonomy.,NA_extant_Odobenus rosmarus,NA,Arctic seas: south as far as New England (USA)_ Great Britain_ Scandinavia_ Pribilof Isls_ and Honshu (Japan) at least occasionally,extant,,NA,NA,Carnivora,Odobenidae,Odobenus,rosmarus,,Odobenus rosmarus,5.916,825000,Added in by KJ and ME,68,,,,,NA,NA,Odobenus rosmarus,invert,wp,marine- births on land
4290,Unchanged taxonomy.,NA_extant_Odocoileus hemionus,NA,,extant,,NA,NA,Artiodactyla,Cervidae,Odocoileus,hemionus,,Odocoileus hemionus,4.734,54212.571,,60,,,,,NA,NA,Odocoileus hemionus,Browse,t2,terr
4291,Unchanged taxonomy.,NA_extant_Odocoileus virginianus,NA,,extant,,NA,NA,Artiodactyla,Cervidae,Odocoileus,virginianus,white-tailed deer,Odocoileus virginianus,4.744,55508.565,,60,,,,,NA,NA,Odocoileus virginianus,Browse,t2,terr
4292,Genus and species name match. Likely taxonomy is RODENTIA Cricetidae Oligoryzomys fulvescens,NA_extant_Oligoryzomys fulvescens,NA,,extant,,NA,NA,Rodentia,Muridae,Oligoryzomys,fulvescens,,Oligoryzomys fulvescens,1.398,25,,60,,,,,NA,NA,Oligoryzomys fulvescens,Frug/ginsect,same as congeners,terr
4293,Genus and species name match. Likely taxonomy is RODENTIA Cricetidae Oligoryzomys vegetus,NA_extant_Oligoryzomys vegetus,NA,Panama,extant,,NA,NA,Rodentia,Muridae,Oligoryzomys,vegetus,,Oligoryzomys vegetus,-999,-999,,-999,LR,,,,NA,NA,Oligoryzomys vegetus,,,
4294,Genus and species name match. Likely taxonomy is RODENTIA Cricetidae Ondatra zibethicus,NA_extant_Ondatra zibethicus,NA,,extant,,NA,NA,Rodentia,Muridae,Ondatra,zibethicus,,Ondatra zibethicus,2.992,981.499,,60,,,,,NA,NA,Ondatra zibethicus,Graze/carn,t2,terr
4295,Genus and species name match. Likely taxonomy is RODENTIA Cricetidae Onychomys arenicola,NA_extant_Onychomys arenicola,NA,,extant,,NA,NA,Rodentia,Muridae,Onychomys,arenicola,,Onychomys arenicola,1.477,30,,66,,,,,NA,NA,Onychomys arenicola,Ginsect/carn,t2,terr
4296,Genus and species name match. Likely taxonomy is RODENTIA Cricetidae Onychomys leucogaster,NA_extant_Onychomys leucogaster,NA,,extant,,NA,NA,Rodentia,Muridae,Onychomys,leucogaster,,Onychomys leucogaster,1.446,27.925,,60,,,,,NA,NA,Onychomys leucogaster,Ginsect/carn,t2,terr
4297,Genus and species name match. Likely taxonomy is RODENTIA Cricetidae Onychomys torridus,NA_extant_Onychomys torridus,NA,,extant,,NA,NA,Rodentia,Muridae,Onychomys,torridus,,Onychomys torridus,1.397,24.967,,60,,,,,NA,NA,Onychomys torridus,Ginsect/carn,t2,terr
4298,Unchanged taxonomy.,NA_extant_Oreamnos americanus,NA,,extant,,NA,NA,Artiodactyla,Bovidae,Oreamnos,americanus,,Oreamnos americanus,4.86,72500.333,,60,,,,,NA,NA,Oreamnos americanus,graze/browse,t2,terr
4299,Unchanged taxonomy.,NA_extant_Orthogeomys cavator,NA,Panama to Costa Rica,extant,,NA,NA,Rodentia,Geomyidae,Orthogeomys,cavator,,Orthogeomys cavator,2.813,650,,72,,,,,NA,NA,Orthogeomys cavator,Browse/frug,t2,terr- fossorial
4300,Unchanged taxonomy.,NA_extant_Orthogeomys cherriei,NA,Costa Rica,extant,,NA,NA,Rodentia,Geomyidae,Orthogeomys,cherriei,,Orthogeomys cherriei,2.352,225,habitat loss,Morgan,LR,,,,NA,NA,Orthogeomys cherriei,Browse/frug,t2,terr- fossorial
4301,Unchanged taxonomy.,NA_extant_Orthogeomys cuniculus,NA,,extant,,NA,NA,Rodentia,Geomyidae,Orthogeomys,cuniculus,,Orthogeomys cuniculus,2.699,500,restricted range,66,CR,,,,NA,NA,Orthogeomys cuniculus,Browse/frug,t2,terr- fossorial
4302,Unchanged taxonomy.,NA_extant_Orthogeomys grandis,NA,,extant,,NA,NA,Rodentia,Geomyidae,Orthogeomys,grandis,,Orthogeomys grandis,2.699,500,,66,,,,,NA,NA,Orthogeomys grandis,Browse/frug,t2,terr- fossorial
4303,Unchanged taxonomy.,NA_extant_Orthogeomys heterodus,NA,Costa Rica,extant,,NA,NA,Rodentia,Geomyidae,Orthogeomys,heterodus,,Orthogeomys heterodus,2.789,615,habitat loss,72,LR,,,,NA,NA,Orthogeomys heterodus,Browse/frug,t2,terr- fossorial
4304,Unchanged taxonomy.,NA_extant_Orthogeomys hispidus,NA,,extant,,NA,NA,Rodentia,Geomyidae,Orthogeomys,hispidus,,Orthogeomys hispidus,2.699,500,,66,,,,,NA,NA,Orthogeomys hispidus,Browse/frug,t2,terr- fossorial
4305,Unchanged taxonomy.,NA_extant_Orthogeomys lanius,NA,,extant,,NA,NA,Rodentia,Geomyidae,Orthogeomys,lanius,,Orthogeomys lanius,2.699,500,,66,,,,,NA,NA,Orthogeomys lanius,Browse/frug,t2,terr- fossorial
4306,Unchanged taxonomy.,NA_extant_Orthogeomys matagalpae,NA,Nicaragua to Honduras,extant,,NA,NA,Rodentia,Geomyidae,Orthogeomys,matagalpae,,Orthogeomys matagalpae,-999,-999,,-999,,,,,NA,NA,Orthogeomys matagalpae,Browse/frug,t2,
4307,Unchanged taxonomy.,NA_extant_Orthogeomys thaeleri,NA,NW Colombia,extant,,NA,NA,Rodentia,Geomyidae,Orthogeomys,thaeleri,,Orthogeomys thaeleri,-999,-999,,-999,,,,,NA,NA,Orthogeomys thaeleri,Browse/frug,t2,
4308,Unchanged taxonomy.,NA_extant_Orthogeomys underwoodi,NA,Costa Rica,extant,,NA,NA,Rodentia,Geomyidae,Orthogeomys,underwoodi,,Orthogeomys underwoodi,2.398,250,,72,,,,,NA,NA,Orthogeomys underwoodi,Browse/frug,t2,terr- fossorial
4309,Genus and species name match. Likely taxonomy is RODENTIA Cricetidae Oryzomys alfaroi,NA_extant_Oryzomys alfaroi,NA,,extant,,NA,NA,Rodentia,Muridae,Oryzomys,alfaroi,,Oryzomys alfaroi,1.522,33.3,,60,,,,,NA,NA,Oryzomys alfaroi,frug/carn,t2,terr
4310,Genus and species name match. Likely taxonomy is RODENTIA Cricetidae Oryzomys chapmani,NA_extant_Oryzomys chapmani,NA,,extant,,NA,NA,Rodentia,Muridae,Oryzomys,chapmani,,Oryzomys chapmani,1.699,50,,60,,,,,NA,NA,Oryzomys chapmani,frug/carn,t2,terr
4311,Genus and species name match. Likely taxonomy is RODENTIA Cricetidae Oryzomys couesi,NA_extant_Oryzomys couesi,NA,,extant,,NA,NA,Rodentia,Muridae,Oryzomys,couesi,,Oryzomys couesi,1.841,69.299,,60,,,,,NA,NA,Oryzomys couesi,invert,t2,terr
4312,Genus and species name match. Likely taxonomy is RODENTIA Cricetidae Oryzomys devius,NA_extant_Oryzomys devius,NA,Costa Rica & Panama,extant,,NA,NA,Rodentia,Muridae,Oryzomys,devius,,Oryzomys devius,-999,-999,,-999,,,,,NA,NA,Oryzomys devius,frug/carn,t2,
4313,Genus and species name match. Likely taxonomy is RODENTIA Cricetidae Oryzomys dimidiatus,NA_extant_Oryzomys dimidiatus,NA,SE Nicaragua,extant,,NA,NA,Rodentia,Muridae,Oryzomys,dimidiatus,,Oryzomys dimidiatus,-999,-999,,-999,LR,,,,NA,NA,Oryzomys dimidiatus,frug/carn,t2,
4314,Genus and species name match. Likely taxonomy is RODENTIA Cricetidae Oryzomys melanotis,NA_extant_Oryzomys melanotis,NA,,extant,,NA,NA,Rodentia,Muridae,Oryzomys,melanotis,,Oryzomys melanotis,1.699,50,,66,DD,,,,NA,NA,Oryzomys melanotis,frug/carn,t2,terr
4315,Genus and species name match. Likely taxonomy is RODENTIA Cricetidae Oryzomys palustris,NA_extant_Oryzomys palustris,NA,,extant,,NA,NA,Rodentia,Muridae,Oryzomys,palustris,,Oryzomys palustris,1.731,53.875,,60,,,,,NA,NA,Oryzomys palustris,invert,t2,terr
4316,Genus and species name match. Likely taxonomy is RODENTIA Cricetidae Oryzomys rhabdops,NA_extant_Oryzomys rhabdops,NA,Meixco & Gyatemala,extant,,NA,NA,Rodentia,Muridae,Oryzomys,rhabdops,,Oryzomys rhabdops,-999,-999,,-999,,,,,NA,NA,Oryzomys rhabdops,frug/carn,t2,
4317,Genus and species name match. Likely taxonomy is RODENTIA Cricetidae Oryzomys rostratus,NA_extant_Oryzomys rostratus,NA,Mexico_ Guatemala_ El Salvador_ Honduras_ Nicaragua,extant,,NA,NA,Rodentia,Muridae,Oryzomys,rostratus,,Oryzomys rostratus,-999,-999,,-999,,,,,NA,NA,Oryzomys rostratus,frug/carn,t2,
4318,Genus and species name match. Likely taxonomy is RODENTIA Cricetidae Oryzomys saturatior,NA_extant_Oryzomys saturatior,NA,Mexiso_ Guatemala_ Honduras_ El Salvador_ Nicaragua,extant,,NA,NA,Rodentia,Muridae,Oryzomys,saturatior,,Oryzomys saturatior,-999,-999,,-999,,,,,NA,NA,Oryzomys saturatior,frug/carn,t2,
4319,Genus and species name match. Likely taxonomy is RODENTIA Cricetidae Osgoodomys banderanus,NA_extant_Osgoodomys banderanus,NA,,extant,,NA,NA,Rodentia,Muridae,Osgoodomys,banderanus,,Osgoodomys banderanus,1.699,50,,66,,,,,NA,NA,Osgoodomys banderanus,ginsect/frug ,t2,terr
4320,Genus and species name match. Likely taxonomy is RODENTIA Cricetidae Otonyctomys hatti,NA_extant_Otonyctomys hatti,NA,,extant,,NA,NA,Rodentia,Muridae,Otonyctomys,hatti,,Otonyctomys hatti,1.559,36.2,,60,,,,,NA,NA,Otonyctomys hatti,Frug,t2,terr
4321,Genus and species name match. Likely taxonomy is RODENTIA Cricetidae Ototylomys phyllotis,NA_extant_Ototylomys phyllotis,NA,,extant,,NA,NA,Rodentia,Muridae,Ototylomys,phyllotis,,Ototylomys phyllotis,2.079,120,,75,,,,,NA,NA,Ototylomys phyllotis,Frug/browse,t2,terr
4322,Unchanged taxonomy.,NA_extant_Ovibos moschatus,NA,,extant,,NA,NA,Artiodactyla,Bovidae,Ovibos,moschatus,,Ovibos moschatus,5.566,368502.128,,60,,,,,NA,NA,Ovibos moschatus,Graze ,t2,terr
4323,Unchanged taxonomy.,NA_extant_Ovis canadensis,NA,,extant,,NA,NA,Artiodactyla,Bovidae,Ovis,canadensis,,Ovis canadensis,4.873,74644.876,hunting_ habitat loss_ pathogens/parasites_ low densities,60,LR,,,,NA,NA,Ovis canadensis,Graze ,t2,terr
4324,Unchanged taxonomy.,NA_extant_Ovis dalli,NA,,extant,,NA,NA,Artiodactyla,Bovidae,Ovis,dalli,,Ovis dalli,4.745,55650.619,,60,,,,,NA,NA,Ovis dalli,Graze ,t2,terr
4325,Unchanged taxonomy.,NA_extant_Panthera onca,NA,,extant,,NA,NA,Carnivora,Felidae,Panthera,onca,,Panthera onca,5,1.00E+05,hunting_ persecution_ habitat loss,60,NT,,,,NA,NA,Panthera onca,Carn,t2,terr
4326,Unchanged taxonomy.,NA_extant_Pappogeomys alcorni,NA,,extant,,NA,NA,Rodentia,Geomyidae,Pappogeomys,alcorni,,Pappogeomys alcorni,2.176,150,persecution,66,VU,,,,NA,NA,Pappogeomys alcorni,Browse/frug,t2,terr- fossorial
4327,Unchanged taxonomy.,NA_extant_Pappogeomys bulleri,NA,,extant,,NA,NA,Rodentia,Geomyidae,Pappogeomys,bulleri,,Pappogeomys bulleri,2.176,150,,66,,,,,NA,NA,Pappogeomys bulleri,Browse/frug,t2,terr- fossorial
4328,Genus level change. Taxonomy possibilities are: RODENTIA Geomyidae  Cratogeomys castanops,NA_extant_Pappogeomys castanops,NA,,extant,,NA,NA,Rodentia,Geomyidae,Pappogeomys,castanops,,Pappogeomys castanops,2.401,251.75,,60,,,,,NA,NA,Pappogeomys castanops,Browse/graze,t2,terr- fossorial
4329,"Genus level change. Taxonomy possibilities are: RODENTIA Geomyidae  Cratogeomys fumosus, RODENTIA Muridae Heimyscus fumosus",NA_extant_Pappogeomys fumosus,NA,,extant,,NA,NA,Rodentia,Geomyidae,Pappogeomys,fumosus,,Pappogeomys fumosus,2.176,150,unknown,66,LR,,,,NA,NA,Pappogeomys fumosus,Browse/frug,t2,terr- fossorial
4330,"Genus level change. Taxonomy possibilities are: RODENTIA Geomyidae  Cratogeomys gymnurus, RODENTIA Echimyidae Hoplomys gymnurus",NA_extant_Pappogeomys gymnurus,NA,,extant,,NA,NA,Rodentia,Geomyidae,Pappogeomys,gymnurus,,Pappogeomys gymnurus,2.778,599.998,,66,,,,,NA,NA,Pappogeomys gymnurus,Browse/frug,t2,terr- fossorial
4331,"Genus level change. Taxonomy possibilities are: RODENTIA Sciuridae Tamias merriami, RODENTIA Heteromyidae Dipodomys merriami, RODENTIA Heteromyidae Perognathus merriami, RODENTIA Geomyidae  Cratogeomys merriami, RODENTIA Cricetidae Peromyscus merriami, SORICOMORPHA Soricidae Cryptotis merriami, SORICOMORPHA Soricidae Sorex merriami",NA_extant_Pappogeomys merriami,NA,,extant,,NA,NA,Rodentia,Geomyidae,Pappogeomys,merriami,,Pappogeomys merriami,2.623,420.001,,60,,,,,NA,NA,Pappogeomys merriami,Browse/frug,t2,terr- fossorial
4332,"Genus level change. Taxonomy possibilities are: PRIMATES Cercopithecidae Cercopithecus neglectus, RODENTIA Geomyidae  Cratogeomys neglectus, CHIROPTERA Molossidae Molossops neglectus",NA_extant_Pappogeomys neglectus,NA,,extant,,NA,NA,Rodentia,Geomyidae,Pappogeomys,neglectus,,Pappogeomys neglectus,2.176,150,unknown,66,CR,,,,NA,NA,Pappogeomys neglectus,Browse/frug,t2,terr- fossorial
4333,Genus level change. Taxonomy possibilities are: RODENTIA Geomyidae  Cratogeomys tylorhinus,NA_extant_Pappogeomys tylorhinus,NA,,extant,,NA,NA,Rodentia,Geomyidae,Pappogeomys,tylorhinus,,Pappogeomys tylorhinus,2.396,249.012,unknown,60,LR,,,,NA,NA,Pappogeomys tylorhinus,Browse/frug,t2,terr- fossorial
4334,Genus level change. Taxonomy possibilities are: RODENTIA Geomyidae  Cratogeomys zinseri,NA_extant_Pappogeomys zinseri,NA,,extant,,NA,NA,Rodentia,Geomyidae,Pappogeomys,zinseri,,Pappogeomys zinseri,2.176,150,unknown,66,LR,,,,NA,NA,Pappogeomys zinseri,Browse/frug,t2,terr- fossorial
4335,Genus and species name match. Likely taxonomy is SORICOMORPHA Talpidae Parascalops breweri,NA_extant_Parascalops breweri,NA,,extant,,NA,NA,Insectivora,Talpidae,Parascalops,breweri,,Parascalops breweri,1.708,51,,60,,,,,NA,NA,Parascalops breweri,Ginsect,t2,terr
4336,Unchanged taxonomy.,NA_extant_Pecari tajacu,NA,,extant,,NA,NA,Artiodactyla,Tayassuidae,Pecari,tajacu,,Pecari tajacu,4.328,21266.695,,60,,,,,NA,NA,Pecari tajacu,Frug/browse,t3,terr
4337,"Genus level change. Taxonomy possibilities are: RODENTIA Cricetidae Cricetulus alticola, RODENTIA Muridae Maxomys alticola, SORICOMORPHA Soricidae Cryptotis alticola",NA_extant_Perognathus alticola,NA,,extant,,NA,NA,Rodentia,Heteromyidae,Perognathus,alticola,,Perognathus alticola,1.38,24,restricted range,66,LR,,,,NA,NA,Perognathus alticola,Frug/browse,t2,terr
4338,Unchanged taxonomy.,NA_extant_Perognathus amplus,NA,,extant,,NA,NA,Rodentia,Heteromyidae,Perognathus,amplus,,Perognathus amplus,1.068,11.7,unknown,60,LR,,,,NA,NA,Perognathus amplus,Frug ,t2,terr
4339,Unchanged taxonomy.,NA_extant_Perognathus fasciatus,NA,,extant,,NA,NA,Rodentia,Heteromyidae,Perognathus,fasciatus,,Perognathus fasciatus,1.063,11.55,,60,,,,,NA,NA,Perognathus fasciatus,Frug ,t2,terr
4340,Unchanged taxonomy.,NA_extant_Perognathus flavescens,NA,,extant,,NA,NA,Rodentia,Heteromyidae,Perognathus,flavescens,,Perognathus flavescens,0.944,8.8,,60,,,,,NA,NA,Perognathus flavescens,Frug/browse,t2,terr
4341,Unchanged taxonomy.,NA_extant_Perognathus flavus,NA,,extant,,NA,NA,Rodentia,Heteromyidae,Perognathus,flavus,,Perognathus flavus,0.888,7.733,,60,,,,,NA,NA,Perognathus flavus,Frug/browse,t2,terr
4342,Unchanged taxonomy.,NA_extant_Perognathus inornatus,NA,,extant,,NA,NA,Rodentia,Heteromyidae,Perognathus,inornatus,,Perognathus inornatus,1.037,10.883,,60,,,,,NA,NA,Perognathus inornatus,Frug ,t2,terr
4343,Unchanged taxonomy.,NA_extant_Perognathus longimembris,NA,,extant,,NA,NA,Rodentia,Heteromyidae,Perognathus,longimembris,,Perognathus longimembris,0.881,7.6,,60,,,,,NA,NA,Perognathus longimembris,Frug ,t2,terr
4344,Unchanged taxonomy.,NA_extant_Perognathus merriami,NA,,extant,,NA,NA,Rodentia,Heteromyidae,Perognathus,merriami,,Perognathus merriami,0.836,6.85,,60,,,,,NA,NA,Perognathus merriami,Frug ,t2,terr
4345,Unchanged taxonomy.,NA_extant_Perognathus parvus,NA,,extant,,NA,NA,Rodentia,Heteromyidae,Perognathus,parvus,,Perognathus parvus,1.338,21.775,,60,,,,,NA,NA,Perognathus parvus,Frug ,t2,terr
4346,"Species name change. Listing all species in the genus: alticolus, amplus, fasciatus, flavescens, flavus, inornatus, longimembris, merriami, parvus",NA_extant_Perognathus xanthanotus,NA,,extant,,NA,NA,Rodentia,Heteromyidae,Perognathus,xanthanotus,,Perognathus xanthanotus,1.38,24,,66,,,,,NA,NA,Perognathus xanthanotus,Frug ,t2,terr
4347,Genus and species name match. Likely taxonomy is RODENTIA Cricetidae Peromyscus attwateri,NA_extant_Peromyscus attwateri,NA,,extant,,NA,NA,Rodentia,Muridae,Peromyscus,attwateri,,Peromyscus attwateri,1.446,27.9,,60,,,,,NA,NA,Peromyscus attwateri,frug/browse/ginsect,t2,terr
